iter	RMSE
676	194136.8865
677	193748.1022
678	193408.0588
679	192645.0867
680	192257.9634
681	191618.8976
682	191420.883
683	191062.5324
684	190888.9773
685	190581.0179
686	190450.8866
687	189910.4337
688	189197.7255
689	188645.2474
690	188319.777
691	187682.9191
692	187192.7134
693	186934.1788
694	186454.5137
695	185645.9734
696	185210.5162
697	184598.8496
698	184482.3786
699	184257.0604
700	183838.3757
701	183756.2255
702	183571.6944
703	183233.9063
704	182578.0358
705	182349.2502
706	181745.6141
707	181558.0465
708	181218.0816
709	181057.854
710	180865.5178
711	180241.1288
712	180026.7923
713	179674.684
714	179569.9787
715	179221.8111
716	178891.7284
717	178560.7052
718	178173.7013
719	177829.9568
720	177306.7414
721	176977.4059
722	176712.593
723	176391.2735
724	176294.4689
725	175836.5253
726	175795.5096
727	175464.4843
728	175299.7757
729	174971.8895
730	174672.1674
731	174412.3201
732	173956.5756
733	173882.8799
734	173674.3921
735	173497.1707
736	173144.4712
737	172942.2558
738	172614.517
739	172374.2712
740	172292.5061
741	171712.7301
742	171579.7641
743	171022.5726
744	170594.3476
745	170033.6872
746	169874.552
747	169601.1043
748	169532.4417
749	169388.3963
750	169095.2658
751	168895.5696
752	168553.206
753	167983.6152
754	167879.1896
755	167295.0715
756	167107.4073
757	166787.3778
758	166616.7482
759	166316.518
760	166141.7534
761	165870.9264
762	165370.1493
763	164824.0868
764	164385.5858
765	164205.1478
766	163830.7708
767	163503.8772
768	163222.414
769	162874.0498
770	162757.4941
771	162360.2146
772	162083.039
773	161527.2423
774	161327.6628
775	160812.4099
776	160615.8942
777	160354.7978
778	160084.0799
779	159868.9252
780	159509.237
781	159319.2397
782	159096.9584
783	158979.5428
784	158491.312
785	157872.01
786	157365.1414
787	157301.8407
788	157009.6551
789	156600.7867
790	156234.9731
791	155874.0429
792	155523.6848
793	155280.4111
794	154805.52
795	154630.6957
796	154247.8036
797	153945.6313
798	153605.8668
799	153443.8442
800	152957.2506
801	152717.3928
802	152541.7684
803	152405.7678
804	151990.6827
805	151636.3355
806	151476.5312
807	151202.2586
